idMarca,Marca,Abrev,MarcaURL,idDataStorage,OrdenM
211,BIN BIN,BIN       ,"",,0
212,BOSTON,BOSTON    ,"",,0
213,BROTHER,BROTHER   ,"",,0
214,BRUÑO,BRUÑO     ,"",,0
215,BRYPEL,BRYPEL    ,"",,0
216,CANSON,CNSON     ,"",,0
217,CARBEX,CARBEX    ,"",,0
218,CARBOLAN,CRBLAN    ,"",,0
219,CASINE,CSNE      ,"",,0
220,CASIO,CASIO     ,"",,0
221,CITIZEN,CTZEN     ,"",,0
222,CLASSIC,CLSIC     ,"",,0
223,CONTE,CONTE     ,"",,0
224,COQUITO,COQUITO   ,"",,0
225,DELFIN,DLFIN     ,"",,0
226,DELFOS,DLFS      ,"",,0
227,DONGA,DONGA     ,"",,0
228,DURACELL,DRCELL    ,"",,0
229,EAGLE,EGLE      ,"",,0
230,ELEPHANT,ELPHN     ,"",,0
231,ECLIPSE,ECLIPSE   ,"",,0
232,EPSON,EPSON     ,"",,0
233,ESSELTE,ESLTE     ,"",,0
234,ETIGRAF,ETGRF     ,"",,0
235,ETIKETAS,ETKTAS    ,"",,0
236,ETILUX,ETILUX    ,"",,0
237,FABER CASTELL,FABER     ,http://lasoluciond.com/img/marcas/faber-castell.png,,0
238,FABRIANO,FBRNO     ,"",,0
239,FALKE,FALKE     ,"",,0
240,FERCO,FERCO     ,"",,0
241,FILM INDEX,FINDEX    ,"",,0
242,GALLO,GALLO     ,"",,0
243,GERMANY,GERNY     ,"",,0
244,GESTETNER,GESTET    ,"",,0
245,GIOTTO,GIOTTO    ,"",,0
246,GLORINDA,GLNDA     ,"",,0
247,GOLDEN,GOLDEN    ,"",,0
248,HELIOS,HELIOS    ,"",,0
249,GRAPHOS,GRAPHOS   ,"",,0
250,IMATION,IMAT      ,"",,0
251,JAPAN,JAPAN     ,"",,0
252,JUSTUS,JUSTUS    ,"",,0
253,KARTEN,KARTEN    ,"",,0
254,KERO,KERO      ,"",,0
255,KIMBERLY,KIMBLY    ,"",,0
256,KODAK,KODAK     ,"",,0
257,LANCER,LANCER    ,"",,0
258,LAYCONSA,LAYCO     ,"",,0
259,LEITZ,LEITZ     ,"",,0
260,LINEX,LINEX     ,"",,0
261,LORO,LORO      ,"",,0
262,LUCAS,LUCAS     ,"",,0
263,LUCKY,LUCKY     ,"",,0
264,LUVA,LUVA      ,"",,0
265,LUXE,LUXE      ,"",,0
266,MADISON,MADISON   ,"",,0
267,MASTER,MASTER    ,"",,0
268,MAXELL,MAXELL    ,"",,0
269,MILLENIUM,MILLENIUM ,"",,0
270,MIMAKS,MIMAKS    ,"",,0
271,MINERVA,MINERV    ,"",,0
272,MINOLTA,MINOL     ,"",,0
273,MODILIN,MODILIN   ,"",,0
274,NORMA,NORMA     ,"",,0
275,NORMOGRAPH,NORMG     ,"",,0
276,OLIMPIA,OLIMP     ,"",,0
277,OMEGA,OMEGA     ,"",,0
278,PAPER MATE,PAPMAT    ,"",,0
279,PARAMONGA,PARMGA    ,"",,0
280,PARKER,PARKER    ,"",,0
281,PASCUALINA,PASCLNA   ,"",,0
282,PATITA,PATITA    ,"",,0
283,PATRIA,PATRIA    ,"",,0
284,PEGAFAN,PGFAN     ,"",,0
285,PELIKAN,PELIKAN   ,http://lasoluciond.com/img/marcas/pelikan.png,,0
286,PENTEL,PENTEL    ,"",,0
287,PILOT,PILOT     ,http://lasoluciond.com/img/marcas/pilot.jpg,,0
288,PINTADO,PINTADO   ,"",,0
289,PLANTEC,PLANTEC   ,"",,0
290,POINTER,POINTER   ,"",,0
291,PPC,PPC       ,"",,0
292,PRINCO,PRINCO    ,"",,0
293,PUPPY,PUPPY     ,"",,0
294,RAPID,RAPID     ,"",,0
295,REINER,REINER    ,"",,0
296,RIPAX,RIPAX     ,"",,0
297,RIPASA,RIPASA    ,"",,0
298,ROYAL,ROYAL     ,"",,0
299,RUMO,RUMO      ,"",,0
300,SHARPIE,SHARPIE   ,"",,0
